parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
19792,삼성동제1공영,37.468629,126.930985,공영,노상,105,유료,서울특별시 관악구 신림동 808-498,"일요일,공휴일 휴무"
19793,갈산마을 주차장,36.09744,126.930983,공영,노외,10,무료,전라북도 익산시 성당면 갈산리 산98-1,연중 무휴
19794,홍연초등학교 공영주차장,37.5819985,126.9309307,공영,노외,89,유료,서울특별시 서대문구 홍은2동 305,연중 무휴
19795,중심3공영주차장,37.358839,126.930861,공영,노외,18,유료,경기도 군포시 산본동 1143-1,연중 무휴
19796,안중노상(경기물류고 옆),36.98932015,126.9303425,공영,노상,37,무료,경기도 평택시 안중읍 안중리 292-43 일원,연중 무휴
19797,안중 제1공영주차장,36.98501987,126.9298252,공영,노외,78,무료,경기도 평택시 안중리 302-1,연중 무휴
19798,연희사러가쇼핑센터 앞 공영주차장,37.56715296,126.9296631,공영,노상,31,유료,서울특별시 서대문구 연희동 131-1,"일요일,공휴일 휴무"
19799,곡란로 노상주차장,37.372866,126.92956,공영,노상,21,무료,경기도 군포시 곡란중 개나리 아파트,연중 무휴
19800,안중노상제1공영,36.98874295,126.9294893,공영,노상,18,유료,경기도 평택시 안중리 279-1일원 (수협 앞),연중 무휴
19801,안일전통,36.9880328,126.9293282,공영,노외,30,유료,경기도 평택시 안중리 288-4,연중 무휴
19802,원신공영,37.470066,126.929213,공영,노외,174,유료,서울특별시 관악구 신림동 366,연중 무휴
19803,두암1동주민센터,35.17103696,126.9289643,공영,노외,20,무료,광주광역시 북구 두암동 877-10,연중 무휴
19804,두암1동주민센터,35.17103696,126.9289643,공영,노외,20,무료,광주광역시 북구 두암동 877-10,연중 무휴
19805,서원동제1공영,37.482217,126.928912,공영,노상,34,유료,서울특별시 관악구 신림동 1638-1,연중 무휴
19806,학동마을 주차장,35.945095,126.928494,공영,노외,29,무료,전라북도 익산시 오산면 송학리 617-1,연중 무휴
